Comment,Designator,Footprint,LCSC
Switch1_A,H2403,MountingHole_4.3mm_M4_Pad_TopBottom,
B100K,RV303,V2_TRIM_R0904NB10KL-25KQ-,
B100K,RV2701,V2_TRIM_R0904NB10KL-25KQ-,
Res_In,H702,MountingHole_4.3mm_M4_Pad_TopBottom,
Freq_CV_In,H2301,MountingHole_4.3mm_M4_Pad_TopBottom,
B100K,RV404,V2_TRIM_R0904NB10KL-25KQ-,
In1,J2901,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,
LED_Blue,D2403,LED_D3.0mm,
In2,H503,MountingHole_4.3mm_M4_Pad_TopBottom,
B100K,RV802,V2_TRIM_R0904NB10KL-25KQ-,
Delay1_CV_In,H1303,MountingHole_4.3mm_M4_Pad_TopBottom,
In,H602,MountingHole_4.3mm_M4_Pad_TopBottom,
In1,H2901,MountingHole_4.3mm_M4_Pad_TopBottom,
Out1,J2903,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,
B100K,RV2303,V2_TRIM_R0904NB10KL-25KQ-,
Switch2_Trig,H2402,MountingHole_4.3mm_M4_Pad_TopBottom,
Delay2_In,H1302,MountingHole_4.3mm_M4_Pad_TopBottom,
Out2,J2904,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,
HP_Out,H801,MountingHole_4.3mm_M4_Pad_TopBottom,
In1,H301,MountingHole_4.3mm_M4_Pad_TopBottom,
